id,scene_id,image,query_type,question,option_A,option_B,option_C,option_D,option_E,answer,answer_text,split_group,ood_axis,layout_family,lighting_condition,clutter_level,task_family
tray_018_q02,tray_018,images/tray_018.png,indicator_color,What color is the sterility indicator strip?,green,amber,pink,blue,brown,E,brown,standard_holdout,standard,compact_grid,normal,low,sterility_check
tray_018_q03,tray_018,images/tray_018.png,tag_code,What two-digit tray tag is displayed?,76,35,95,37,75,C,95,standard_holdout,standard,compact_grid,normal,low,text_reading
tray_018_q04,tray_018,images/tray_018.png,seal_breach,Where is the red wrap breach mark located?,lower-left,center,upper-right,lower-right,upper-left,C,upper-right,standard_holdout,standard,compact_grid,normal,low,sterility_check
tray_018_q05,tray_018,images/tray_018.png,orientation_arrow,Which direction does the orange orientation arrow point?,diagonal,down,right,left,up,C,right,standard_holdout,standard,compact_grid,normal,low,spatial_reasoning
tray_018_q06,tray_018,images/tray_018.png,instrument_count,How many syringe items are visible?,4,1,3,0,2,B,1,standard_holdout,standard,compact_grid,normal,low,inventory_check
tray_018_q07,tray_018,images/tray_018.png,checklist_order,"In the checklist strip, which step comes immediately after step 3?",2,3,1,4,5,E,5,standard_holdout,standard,compact_grid,normal,low,sequence_memory
tray_019_q00,tray_019,images/tray_019.png,instrument_slot,Which compartment contains the forceps?,Slot 5,Slot 4,Slot 2,Slot 3,Slot 1,A,Slot 5,standard_holdout,standard,standard_grid,normal,low,inventory_check
tray_019_q01,tray_019,images/tray_019.png,empty_slot,Which numbered compartment is empty?,Slot 6,Slot 3,Slot 1,Slot 2,Slot 4,A,Slot 6,standard_holdout,standard,standard_grid,normal,low,inventory_check
tray_019_q02,tray_019,images/tray_019.png,indicator_color,What color is the sterility indicator strip?,green,brown,blue,pink,amber,C,blue,standard_holdout,standard,standard_grid,normal,low,sterility_check
tray_019_q03,tray_019,images/tray_019.png,tag_code,What two-digit tray tag is displayed?,42,26,54,69,41,A,42,standard_holdout,standard,standard_grid,normal,low,text_reading
tray_019_q04,tray_019,images/tray_019.png,seal_breach,Where is the red wrap breach mark located?,upper-left,center,lower-left,lower-right,upper-right,A,upper-left,standard_holdout,standard,standard_grid,normal,low,sterility_check
tray_019_q05,tray_019,images/tray_019.png,orientation_arrow,Which direction does the orange orientation arrow point?,down,left,up,diagonal,right,C,up,standard_holdout,standard,standard_grid,normal,low,spatial_reasoning
tray_019_q06,tray_019,images/tray_019.png,instrument_count,How many clamp items are visible?,0,3,1,2,4,C,1,standard_holdout,standard,standard_grid,normal,low,inventory_check
tray_019_q07,tray_019,images/tray_019.png,checklist_order,"In the checklist strip, which step comes immediately after step 3?",4,3,5,2,1,A,4,standard_holdout,standard,standard_grid,normal,low,sequence_memory
tray_020_q00,tray_020,images/tray_020.png,instrument_slot,Which compartment contains the clamp?,Slot 5,Slot 2,Slot 3,Slot 4,Slot 1,C,Slot 3,standard_holdout,standard,compact_grid,normal,medium,inventory_check
tray_020_q01,tray_020,images/tray_020.png,empty_slot,Which numbered compartment is empty?,Slot 5,Slot 1,Slot 2,Slot 4,Slot 3,A,Slot 5,standard_holdout,standard,compact_grid,normal,medium,inventory_check
tray_020_q02,tray_020,images/tray_020.png,indicator_color,What color is the sterility indicator strip?,blue,pink,green,brown,amber,D,brown,standard_holdout,standard,compact_grid,normal,medium,sterility_check
tray_020_q03,tray_020,images/tray_020.png,tag_code,What two-digit tray tag is displayed?,77,47,37,98,96,A,77,standard_holdout,standard,compact_grid,normal,medium,text_reading
tray_020_q04,tray_020,images/tray_020.png,seal_breach,Where is the red wrap breach mark located?,upper-left,upper-right,lower-right,lower-left,center,D,lower-left,standard_holdout,standard,compact_grid,normal,medium,sterility_check
tray_020_q05,tray_020,images/tray_020.png,orientation_arrow,Which direction does the orange orientation arrow point?,up,right,left,diagonal,down,B,right,standard_holdout,standard,compact_grid,normal,medium,spatial_reasoning
tray_020_q06,tray_020,images/tray_020.png,instrument_count,How many syringe items are visible?,1,3,4,0,2,A,1,standard_holdout,standard,compact_grid,normal,medium,inventory_check
tray_020_q07,tray_020,images/tray_020.png,checklist_order,"In the checklist strip, which step comes immediately after step 1?",4,2,3,1,5,B,2,standard_holdout,standard,compact_grid,normal,medium,sequence_memory
tray_021_q00,tray_021,images/tray_021.png,instrument_slot,Which compartment contains the syringe?,Slot 5,Slot 1,Slot 2,Slot 3,Slot 4,A,Slot 5,standard_holdout,standard,wide_grid,normal,low,inventory_check
tray_021_q01,tray_021,images/tray_021.png,empty_slot,Which numbered compartment is empty?,Slot 2,Slot 3,Slot 4,Slot 1,Slot 5,D,Slot 1,standard_holdout,standard,wide_grid,normal,low,inventory_check
tray_021_q02,tray_021,images/tray_021.png,indicator_color,What color is the sterility indicator strip?,green,pink,blue,amber,brown,B,pink,standard_holdout,standard,wide_grid,normal,low,sterility_check
tray_021_q03,tray_021,images/tray_021.png,tag_code,What two-digit tray tag is displayed?,18,64,47,52,39,B,64,standard_holdout,standard,wide_grid,normal,low,text_reading
tray_021_q04,tray_021,images/tray_021.png,seal_breach,Where is the red wrap breach mark located?,upper-left,lower-right,upper-right,lower-left,center,E,center,standard_holdout,standard,wide_grid,normal,low,sterility_check
tray_021_q05,tray_021,images/tray_021.png,orientation_arrow,Which direction does the orange orientation arrow point?,up,right,down,left,diagonal,C,down,standard_holdout,standard,wide_grid,normal,low,spatial_reasoning
tray_021_q06,tray_021,images/tray_021.png,instrument_count,How many scalpel items are visible?,2,1,3,4,0,E,0,standard_holdout,standard,wide_grid,normal,low,inventory_check
tray_021_q07,tray_021,images/tray_021.png,checklist_order,"In the checklist strip, which step comes immediately after step 4?",3,4,2,1,5,E,5,standard_holdout,standard,wide_grid,normal,low,sequence_memory
tray_022_q00,tray_022,images/tray_022.png,instrument_slot,Which compartment contains the gauze?,Slot 3,Slot 1,Slot 2,Slot 4,Slot 5,D,Slot 4,standard_holdout,standard,standard_grid,normal,medium,inventory_check
tray_022_q01,tray_022,images/tray_022.png,empty_slot,Which numbered compartment is empty?,Slot 1,Slot 3,Slot 5,Slot 4,Slot 2,B,Slot 3,standard_holdout,standard,standard_grid,normal,medium,inventory_check
tray_022_q02,tray_022,images/tray_022.png,indicator_color,What color is the sterility indicator strip?,brown,amber,green,pink,blue,D,pink,standard_holdout,standard,standard_grid,normal,medium,sterility_check
tray_022_q03,tray_022,images/tray_022.png,tag_code,What two-digit tray tag is displayed?,54,43,82,38,65,D,38,standard_holdout,standard,standard_grid,normal,medium,text_reading
tray_022_q04,tray_022,images/tray_022.png,seal_breach,Where is the red wrap breach mark located?,upper-left,center,upper-right,lower-left,lower-right,D,lower-left,standard_holdout,standard,standard_grid,normal,medium,sterility_check
tray_022_q05,tray_022,images/tray_022.png,orientation_arrow,Which direction does the orange orientation arrow point?,down,left,up,diagonal,right,A,down,standard_holdout,standard,standard_grid,normal,medium,spatial_reasoning
tray_022_q06,tray_022,images/tray_022.png,instrument_count,How many forceps items are visible?,1,4,2,3,0,C,2,standard_holdout,standard,standard_grid,normal,medium,inventory_check
tray_022_q07,tray_022,images/tray_022.png,checklist_order,"In the checklist strip, which step comes immediately after step 2?",2,1,4,3,5,E,5,standard_holdout,standard,standard_grid,normal,medium,sequence_memory
tray_023_q00,tray_023,images/tray_023.png,instrument_slot,Which compartment contains the scalpel?,Slot 1,Slot 5,Slot 2,Slot 3,Slot 4,D,Slot 3,standard_holdout,standard,wide_grid,normal,low,inventory_check
tray_023_q01,tray_023,images/tray_023.png,empty_slot,Which numbered compartment is empty?,Slot 1,Slot 4,Slot 2,Slot 3,Slot 5,E,Slot 5,standard_holdout,standard,wide_grid,normal,low,inventory_check
tray_023_q02,tray_023,images/tray_023.png,indicator_color,What color is the sterility indicator strip?,pink,amber,green,brown,blue,E,blue,standard_holdout,standard,wide_grid,normal,low,sterility_check
tray_023_q03,tray_023,images/tray_023.png,tag_code,What two-digit tray tag is displayed?,14,35,84,20,57,E,57,standard_holdout,standard,wide_grid,normal,low,text_reading
tray_023_q04,tray_023,images/tray_023.png,seal_breach,Where is the red wrap breach mark located?,center,upper-right,lower-right,upper-left,lower-left,D,upper-left,standard_holdout,standard,wide_grid,normal,low,sterility_check
tray_023_q05,tray_023,images/tray_023.png,orientation_arrow,Which direction does the orange orientation arrow point?,up,right,down,diagonal,left,A,up,standard_holdout,standard,wide_grid,normal,low,spatial_reasoning
tray_023_q06,tray_023,images/tray_023.png,instrument_count,How many scalpel items are visible?,2,4,1,3,0,C,1,standard_holdout,standard,wide_grid,normal,low,inventory_check
tray_023_q07,tray_023,images/tray_023.png,checklist_order,"In the checklist strip, which step comes immediately after step 4?",2,1,4,5,3,D,5,standard_holdout,standard,wide_grid,normal,low,sequence_memory
tray_024_q00,tray_024,images/tray_024.png,instrument_slot,Which compartment contains the clamp?,Slot 3,Slot 4,Slot 1,Slot 2,Slot 5,A,Slot 3,standard_holdout,standard,compact_grid,normal,medium,inventory_check
tray_024_q01,tray_024,images/tray_024.png,empty_slot,Which numbered compartment is empty?,Slot 2,Slot 4,Slot 6,Slot 1,Slot 3,C,Slot 6,standard_holdout,standard,compact_grid,normal,medium,inventory_check
tray_024_q02,tray_024,images/tray_024.png,indicator_color,What color is the sterility indicator strip?,green,pink,amber,brown,blue,D,brown,standard_holdout,standard,compact_grid,normal,medium,sterility_check
tray_024_q03,tray_024,images/tray_024.png,tag_code,What two-digit tray tag is displayed?,23,93,39,43,95,A,23,standard_holdout,standard,compact_grid,normal,medium,text_reading
tray_024_q04,tray_024,images/tray_024.png,seal_breach,Where is the red wrap breach mark located?,upper-left,center,lower-right,upper-right,lower-left,C,lower-right,standard_holdout,standard,compact_grid,normal,medium,sterility_check
tray_024_q05,tray_024,images/tray_024.png,orientation_arrow,Which direction does the orange orientation arrow point?,down,left,right,diagonal,up,E,up,standard_holdout,standard,compact_grid,normal,medium,spatial_reasoning
tray_024_q06,tray_024,images/tray_024.png,instrument_count,How many syringe items are visible?,1,3,0,4,2,A,1,standard_holdout,standard,compact_grid,normal,medium,inventory_check
tray_024_q07,tray_024,images/tray_024.png,checklist_order,"In the checklist strip, which step comes immediately after step 5?",1,4,2,5,3,A,1,standard_holdout,standard,compact_grid,normal,medium,sequence_memory
tray_025_q00,tray_025,images/tray_025.png,instrument_slot,Which compartment contains the clamp?,Slot 2,Slot 4,Slot 3,Slot 5,Slot 1,B,Slot 4,standard_holdout,standard,standard_grid,normal,medium,inventory_check
tray_025_q01,tray_025,images/tray_025.png,empty_slot,Which numbered compartment is empty?,Slot 5,Slot 3,Slot 4,Slot 1,Slot 2,E,Slot 2,standard_holdout,standard,standard_grid,normal,medium,inventory_check
tray_025_q02,tray_025,images/tray_025.png,indicator_color,What color is the sterility indicator strip?,pink,green,amber,brown,blue,E,blue,standard_holdout,standard,standard_grid,normal,medium,sterility_check
tray_025_q03,tray_025,images/tray_025.png,tag_code,What two-digit tray tag is displayed?,47,34,91,35,14,C,91,standard_holdout,standard,standard_grid,normal,medium,text_reading
tray_025_q04,tray_025,images/tray_025.png,seal_breach,Where is the red wrap breach mark located?,lower-right,center,upper-right,lower-left,upper-left,A,lower-right,standard_holdout,standard,standard_grid,normal,medium,sterility_check
tray_025_q05,tray_025,images/tray_025.png,orientation_arrow,Which direction does the orange orientation arrow point?,down,up,diagonal,left,right,E,right,standard_holdout,standard,standard_grid,normal,medium,spatial_reasoning
tray_025_q06,tray_025,images/tray_025.png,instrument_count,How many clamp items are visible?,1,2,3,4,0,A,1,standard_holdout,standard,standard_grid,normal,medium,inventory_check
tray_025_q07,tray_025,images/tray_025.png,checklist_order,"In the checklist strip, which step comes immediately after step 5?",4,2,5,3,1,D,3,standard_holdout,standard,standard_grid,normal,medium,sequence_memory
tray_026_q00,tray_026,images/tray_026.png,instrument_slot,Which compartment contains the syringe?,Slot 4,Slot 3,Slot 1,Slot 6,Slot 2,D,Slot 6,standard_holdout,standard,wide_grid,normal,medium,inventory_check
tray_026_q01,tray_026,images/tray_026.png,empty_slot,Which numbered compartment is empty?,Slot 5,Slot 2,Slot 3,Slot 1,Slot 4,A,Slot 5,standard_holdout,standard,wide_grid,normal,medium,inventory_check
tray_026_q02,tray_026,images/tray_026.png,indicator_color,What color is the sterility indicator strip?,green,pink,brown,amber,blue,E,blue,standard_holdout,standard,wide_grid,normal,medium,sterility_check
tray_026_q03,tray_026,images/tray_026.png,tag_code,What two-digit tray tag is displayed?,41,25,74,11,78,D,11,standard_holdout,standard,wide_grid,normal,medium,text_reading
tray_026_q04,tray_026,images/tray_026.png,seal_breach,Where is the red wrap breach mark located?,lower-left,upper-left,upper-right,center,lower-right,D,center,standard_holdout,standard,wide_grid,normal,medium,sterility_check
tray_026_q05,tray_026,images/tray_026.png,orientation_arrow,Which direction does the orange orientation arrow point?,diagonal,right,left,up,down,B,right,standard_holdout,standard,wide_grid,normal,medium,spatial_reasoning
tray_026_q06,tray_026,images/tray_026.png,instrument_count,How many gauze items are visible?,3,0,4,1,2,B,0,standard_holdout,standard,wide_grid,normal,medium,inventory_check
tray_026_q07,tray_026,images/tray_026.png,checklist_order,"In the checklist strip, which step comes immediately after step 1?",1,4,2,3,5,B,4,standard_holdout,standard,wide_grid,normal,medium,sequence_memory
tray_027_q00,tray_027,images/tray_027.png,instrument_slot,Which compartment contains the forceps?,Slot 3,Slot 1,Slot 4,Slot 5,Slot 2,A,Slot 3,standard_holdout,standard,compact_grid,normal,low,inventory_check
tray_027_q01,tray_027,images/tray_027.png,empty_slot,Which numbered compartment is empty?,Slot 2,Slot 3,Slot 1,Slot 4,Slot 5,E,Slot 5,standard_holdout,standard,compact_grid,normal,low,inventory_check
tray_027_q02,tray_027,images/tray_027.png,indicator_color,What color is the sterility indicator strip?,green,amber,pink,blue,brown,B,amber,standard_holdout,standard,compact_grid,normal,low,sterility_check
tray_027_q03,tray_027,images/tray_027.png,tag_code,What two-digit tray tag is displayed?,35,32,25,68,65,C,25,standard_holdout,standard,compact_grid,normal,low,text_reading
tray_027_q04,tray_027,images/tray_027.png,seal_breach,Where is the red wrap breach mark located?,upper-right,lower-right,upper-left,center,lower-left,C,upper-left,standard_holdout,standard,compact_grid,normal,low,sterility_check
tray_027_q05,tray_027,images/tray_027.png,orientation_arrow,Which direction does the orange orientation arrow point?,diagonal,down,up,right,left,B,down,standard_holdout,standard,compact_grid,normal,low,spatial_reasoning
tray_027_q06,tray_027,images/tray_027.png,instrument_count,How many syringe items are visible?,4,3,1,0,2,D,0,standard_holdout,standard,compact_grid,normal,low,inventory_check
tray_027_q07,tray_027,images/tray_027.png,checklist_order,"In the checklist strip, which step comes immediately after step 3?",3,2,4,5,1,B,2,standard_holdout,standard,compact_grid,normal,low,sequence_memory
tray_028_q00,tray_028,images/tray_028.png,instrument_slot,Which compartment contains the forceps?,Slot 2,Slot 4,Slot 3,Slot 5,Slot 1,D,Slot 5,standard_holdout,standard,offset_grid,normal,medium,inventory_check
tray_028_q01,tray_028,images/tray_028.png,empty_slot,Which numbered compartment is empty?,Slot 5,Slot 3,Slot 1,Slot 4,Slot 2,B,Slot 3,standard_holdout,standard,offset_grid,normal,medium,inventory_check
tray_028_q02,tray_028,images/tray_028.png,indicator_color,What color is the sterility indicator strip?,amber,green,pink,blue,brown,A,amber,standard_holdout,standard,offset_grid,normal,medium,sterility_check
tray_028_q03,tray_028,images/tray_028.png,tag_code,What two-digit tray tag is displayed?,25,78,85,77,17,C,85,standard_holdout,standard,offset_grid,normal,medium,text_reading
tray_028_q04,tray_028,images/tray_028.png,seal_breach,Where is the red wrap breach mark located?,center,lower-left,upper-left,upper-right,lower-right,D,upper-right,standard_holdout,standard,offset_grid,normal,medium,sterility_check
tray_028_q05,tray_028,images/tray_028.png,orientation_arrow,Which direction does the orange orientation arrow point?,diagonal,down,right,left,up,D,left,standard_holdout,standard,offset_grid,normal,medium,spatial_reasoning
tray_028_q06,tray_028,images/tray_028.png,instrument_count,How many forceps items are visible?,4,1,3,2,0,B,1,standard_holdout,standard,offset_grid,normal,medium,inventory_check
tray_028_q07,tray_028,images/tray_028.png,checklist_order,"In the checklist strip, which step comes immediately after step 1?",5,2,1,3,4,B,2,standard_holdout,standard,offset_grid,normal,medium,sequence_memory
tray_029_q00,tray_029,images/tray_029.png,instrument_slot,Which compartment contains the clamp?,Slot 1,Slot 2,Slot 5,Slot 4,Slot 3,C,Slot 5,standard_holdout,standard,standard_grid,normal,medium,inventory_check
tray_029_q01,tray_029,images/tray_029.png,empty_slot,Which numbered compartment is empty?,Slot 3,Slot 6,Slot 1,Slot 2,Slot 4,B,Slot 6,standard_holdout,standard,standard_grid,normal,medium,inventory_check
tray_029_q02,tray_029,images/tray_029.png,indicator_color,What color is the sterility indicator strip?,brown,green,pink,blue,amber,C,pink,standard_holdout,standard,standard_grid,normal,medium,sterility_check
tray_029_q03,tray_029,images/tray_029.png,tag_code,What two-digit tray tag is displayed?,61,76,83,25,62,D,25,standard_holdout,standard,standard_grid,normal,medium,text_reading
tray_029_q04,tray_029,images/tray_029.png,seal_breach,Where is the red wrap breach mark located?,center,upper-right,lower-left,upper-left,lower-right,A,center,standard_holdout,standard,standard_grid,normal,medium,sterility_check
tray_029_q05,tray_029,images/tray_029.png,orientation_arrow,Which direction does the orange orientation arrow point?,up,down,left,diagonal,right,C,left,standard_holdout,standard,standard_grid,normal,medium,spatial_reasoning
tray_029_q06,tray_029,images/tray_029.png,instrument_count,How many scalpel items are visible?,2,4,1,0,3,C,1,standard_holdout,standard,standard_grid,normal,medium,inventory_check
tray_029_q07,tray_029,images/tray_029.png,checklist_order,"In the checklist strip, which step comes immediately after step 2?",1,4,3,2,5,E,5,standard_holdout,standard,standard_grid,normal,medium,sequence_memory
tray_030_q00,tray_030,images/tray_030.png,instrument_slot,Which compartment contains the scalpel?,Slot 4,Slot 1,Slot 5,Slot 2,Slot 3,E,Slot 3,standard_holdout,standard,wide_grid,normal,medium,inventory_check
tray_030_q01,tray_030,images/tray_030.png,empty_slot,Which numbered compartment is empty?,Slot 3,Slot 2,Slot 4,Slot 5,Slot 1,C,Slot 4,standard_holdout,standard,wide_grid,normal,medium,inventory_check
tray_030_q02,tray_030,images/tray_030.png,indicator_color,What color is the sterility indicator strip?,pink,brown,amber,green,blue,A,pink,standard_holdout,standard,wide_grid,normal,medium,sterility_check
tray_030_q03,tray_030,images/tray_030.png,tag_code,What two-digit tray tag is displayed?,80,90,24,66,14,B,90,standard_holdout,standard,wide_grid,normal,medium,text_reading
tray_030_q04,tray_030,images/tray_030.png,seal_breach,Where is the red wrap breach mark located?,lower-left,center,upper-left,upper-right,lower-right,D,upper-right,standard_holdout,standard,wide_grid,normal,medium,sterility_check
tray_030_q05,tray_030,images/tray_030.png,orientation_arrow,Which direction does the orange orientation arrow point?,down,up,right,left,diagonal,B,up,standard_holdout,standard,wide_grid,normal,medium,spatial_reasoning
tray_030_q06,tray_030,images/tray_030.png,instrument_count,How many forceps items are visible?,2,3,1,0,4,A,2,standard_holdout,standard,wide_grid,normal,medium,inventory_check
tray_030_q07,tray_030,images/tray_030.png,checklist_order,"In the checklist strip, which step comes immediately after step 4?",4,1,5,2,3,C,5,standard_holdout,standard,wide_grid,normal,medium,sequence_memory
tray_031_q00,tray_031,images/tray_031.png,instrument_slot,Which compartment contains the gauze?,Slot 1,Slot 2,Slot 3,Slot 4,Slot 5,E,Slot 5,standard_holdout,standard,standard_grid,normal,low,inventory_check
tray_031_q01,tray_031,images/tray_031.png,empty_slot,Which numbered compartment is empty?,Slot 3,Slot 1,Slot 5,Slot 4,Slot 2,B,Slot 1,standard_holdout,standard,standard_grid,normal,low,inventory_check
tray_031_q02,tray_031,images/tray_031.png,indicator_color,What color is the sterility indicator strip?,amber,green,pink,blue,brown,E,brown,standard_holdout,standard,standard_grid,normal,low,sterility_check
tray_031_q03,tray_031,images/tray_031.png,tag_code,What two-digit tray tag is displayed?,45,77,74,52,44,A,45,standard_holdout,standard,standard_grid,normal,low,text_reading
tray_031_q04,tray_031,images/tray_031.png,seal_breach,Where is the red wrap breach mark located?,lower-right,lower-left,upper-right,upper-left,center,B,lower-left,standard_holdout,standard,standard_grid,normal,low,sterility_check
tray_031_q05,tray_031,images/tray_031.png,orientation_arrow,Which direction does the orange orientation arrow point?,up,right,down,left,diagonal,C,down,standard_holdout,standard,standard_grid,normal,low,spatial_reasoning
tray_031_q06,tray_031,images/tray_031.png,instrument_count,How many scalpel items are visible?,1,4,3,0,2,A,1,standard_holdout,standard,standard_grid,normal,low,inventory_check
tray_031_q07,tray_031,images/tray_031.png,checklist_order,"In the checklist strip, which step comes immediately after step 5?",1,3,5,4,2,A,1,standard_holdout,standard,standard_grid,normal,low,sequence_memory
tray_032_q00,tray_032,images/tray_032.png,instrument_slot,Which compartment contains the gauze?,Slot 2,Slot 5,Slot 3,Slot 4,Slot 1,B,Slot 5,standard_holdout,standard,wide_grid,normal,low,inventory_check
tray_032_q01,tray_032,images/tray_032.png,empty_slot,Which numbered compartment is empty?,Slot 2,Slot 5,Slot 1,Slot 4,Slot 3,D,Slot 4,standard_holdout,standard,wide_grid,normal,low,inventory_check
tray_032_q02,tray_032,images/tray_032.png,indicator_color,What color is the sterility indicator strip?,green,blue,amber,brown,pink,B,blue,standard_holdout,standard,wide_grid,normal,low,sterility_check
tray_032_q03,tray_032,images/tray_032.png,tag_code,What two-digit tray tag is displayed?,70,20,13,68,29,B,20,standard_holdout,standard,wide_grid,normal,low,text_reading
tray_032_q04,tray_032,images/tray_032.png,seal_breach,Where is the red wrap breach mark located?,lower-right,lower-left,upper-right,upper-left,center,D,upper-left,standard_holdout,standard,wide_grid,normal,low,sterility_check
tray_032_q05,tray_032,images/tray_032.png,orientation_arrow,Which direction does the orange orientation arrow point?,up,left,right,diagonal,down,E,down,standard_holdout,standard,wide_grid,normal,low,spatial_reasoning
tray_032_q06,tray_032,images/tray_032.png,instrument_count,How many syringe items are visible?,0,4,2,1,3,A,0,standard_holdout,standard,wide_grid,normal,low,inventory_check
tray_032_q07,tray_032,images/tray_032.png,checklist_order,"In the checklist strip, which step comes immediately after step 1?",3,1,4,2,5,D,2,standard_holdout,standard,wide_grid,normal,low,sequence_memory
tray_033_q00,tray_033,images/tray_033.png,instrument_slot,Which compartment contains the clamp?,Slot 2,Slot 4,Slot 3,Slot 1,Slot 5,C,Slot 3,standard_holdout,standard,wide_grid,normal,low,inventory_check
tray_033_q01,tray_033,images/tray_033.png,empty_slot,Which numbered compartment is empty?,Slot 4,Slot 3,Slot 1,Slot 2,Slot 5,E,Slot 5,standard_holdout,standard,wide_grid,normal,low,inventory_check
tray_033_q02,tray_033,images/tray_033.png,indicator_color,What color is the sterility indicator strip?,green,brown,blue,amber,pink,E,pink,standard_holdout,standard,wide_grid,normal,low,sterility_check
tray_033_q03,tray_033,images/tray_033.png,tag_code,What two-digit tray tag is displayed?,98,17,20,97,90,C,20,standard_holdout,standard,wide_grid,normal,low,text_reading
tray_033_q04,tray_033,images/tray_033.png,seal_breach,Where is the red wrap breach mark located?,upper-left,upper-right,lower-left,center,lower-right,A,upper-left,standard_holdout,standard,wide_grid,normal,low,sterility_check
tray_033_q05,tray_033,images/tray_033.png,orientation_arrow,Which direction does the orange orientation arrow point?,down,up,right,left,diagonal,D,left,standard_holdout,standard,wide_grid,normal,low,spatial_reasoning
tray_033_q06,tray_033,images/tray_033.png,instrument_count,How many clamp items are visible?,2,4,0,1,3,D,1,standard_holdout,standard,wide_grid,normal,low,inventory_check
tray_033_q07,tray_033,images/tray_033.png,checklist_order,"In the checklist strip, which step comes immediately after step 2?",4,5,3,2,1,E,1,standard_holdout,standard,wide_grid,normal,low,sequence_memory
tray_034_q00,tray_034,images/tray_034.png,instrument_slot,Which compartment contains the syringe?,Slot 4,Slot 5,Slot 3,Slot 2,Slot 1,B,Slot 5,ood_low_light,low_light,compact_grid,low_light,medium,inventory_check
tray_034_q01,tray_034,images/tray_034.png,empty_slot,Which numbered compartment is empty?,Slot 1,Slot 3,Slot 4,Slot 5,Slot 2,C,Slot 4,ood_low_light,low_light,compact_grid,low_light,medium,inventory_check
tray_034_q02,tray_034,images/tray_034.png,indicator_color,What color is the sterility indicator strip?,brown,green,pink,blue,amber,E,amber,ood_low_light,low_light,compact_grid,low_light,medium,sterility_check
tray_034_q03,tray_034,images/tray_034.png,tag_code,What two-digit tray tag is displayed?,92,29,89,73,91,D,73,ood_low_light,low_light,compact_grid,low_light,medium,text_reading
tray_034_q04,tray_034,images/tray_034.png,seal_breach,Where is the red wrap breach mark located?,lower-right,lower-left,upper-left,center,upper-right,D,center,ood_low_light,low_light,compact_grid,low_light,medium,sterility_check
tray_034_q05,tray_034,images/tray_034.png,orientation_arrow,Which direction does the orange orientation arrow point?,down,right,left,diagonal,up,C,left,ood_low_light,low_light,compact_grid,low_light,medium,spatial_reasoning
tray_034_q06,tray_034,images/tray_034.png,instrument_count,How many forceps items are visible?,0,4,1,2,3,C,1,ood_low_light,low_light,compact_grid,low_light,medium,inventory_check
tray_034_q07,tray_034,images/tray_034.png,checklist_order,"In the checklist strip, which step comes immediately after step 3?",2,3,1,4,5,C,1,ood_low_light,low_light,compact_grid,low_light,medium,sequence_memory
tray_035_q00,tray_035,images/tray_035.png,instrument_slot,Which compartment contains the clamp?,Slot 4,Slot 3,Slot 1,Slot 5,Slot 2,A,Slot 4,ood_low_light,low_light,standard_grid,low_light,medium,inventory_check
tray_035_q01,tray_035,images/tray_035.png,empty_slot,Which numbered compartment is empty?,Slot 1,Slot 2,Slot 4,Slot 5,Slot 3,A,Slot 1,ood_low_light,low_light,standard_grid,low_light,medium,inventory_check
tray_035_q02,tray_035,images/tray_035.png,indicator_color,What color is the sterility indicator strip?,brown,pink,amber,green,blue,B,pink,ood_low_light,low_light,standard_grid,low_light,medium,sterility_check
tray_035_q03,tray_035,images/tray_035.png,tag_code,What two-digit tray tag is displayed?,86,54,12,42,74,E,74,ood_low_light,low_light,standard_grid,low_light,medium,text_reading
tray_035_q04,tray_035,images/tray_035.png,seal_breach,Where is the red wrap breach mark located?,lower-left,center,upper-left,upper-right,lower-right,C,upper-left,ood_low_light,low_light,standard_grid,low_light,medium,sterility_check
tray_035_q05,tray_035,images/tray_035.png,orientation_arrow,Which direction does the orange orientation arrow point?,diagonal,down,right,left,up,B,down,ood_low_light,low_light,standard_grid,low_light,medium,spatial_reasoning
tray_035_q06,tray_035,images/tray_035.png,instrument_count,How many forceps items are visible?,3,2,1,0,4,B,2,ood_low_light,low_light,standard_grid,low_light,medium,inventory_check
tray_035_q07,tray_035,images/tray_035.png,checklist_order,"In the checklist strip, which step comes immediately after step 4?",3,5,1,4,2,B,5,ood_low_light,low_light,standard_grid,low_light,medium,sequence_memory
tray_036_q00,tray_036,images/tray_036.png,instrument_slot,Which compartment contains the syringe?,Slot 5,Slot 1,Slot 4,Slot 3,Slot 2,E,Slot 2,ood_low_light,low_light,wide_grid,low_light,medium,inventory_check
tray_036_q01,tray_036,images/tray_036.png,empty_slot,Which numbered compartment is empty?,Slot 4,Slot 2,Slot 3,Slot 5,Slot 1,D,Slot 5,ood_low_light,low_light,wide_grid,low_light,medium,inventory_check
tray_036_q02,tray_036,images/tray_036.png,indicator_color,What color is the sterility indicator strip?,green,pink,amber,blue,brown,C,amber,ood_low_light,low_light,wide_grid,low_light,medium,sterility_check
tray_036_q03,tray_036,images/tray_036.png,tag_code,What two-digit tray tag is displayed?,53,49,21,56,17,B,49,ood_low_light,low_light,wide_grid,low_light,medium,text_reading
tray_036_q04,tray_036,images/tray_036.png,seal_breach,Where is the red wrap breach mark located?,lower-right,lower-left,upper-right,center,upper-left,C,upper-right,ood_low_light,low_light,wide_grid,low_light,medium,sterility_check
